model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DNS,RW,yields,m196,196.0,12,420,0.007805143093925755,0.007955792203770122,0.005972401672934143,0.006400429612709527,6.09202587166569e-05,6.329462958956945e-05,0.0375129910437747,mat,dns_yield_h12
DNS,RW,yields,m197,197.0,12,420,0.007800374501676854,0.0079473250196195,0.005969998172624166,0.006392381108609521,6.0845842366410435e-05,6.31599749674701e-05,0.03663922606447434,mat,dns_yield_h12
DNS,RW,yields,m198,198.0,12,420,0.007795655635468459,0.007938627012109425,0.005967580500566917,0.006384040741466666,6.077224678681115e-05,6.30217988373934e-05,0.03569482452232864,mat,dns_yield_h12
DNS,RW,yields,m199,199.0,12,420,0.00779101846433343,0.007929729517535828,0.00596511431370326,0.006375368101328567,6.0699968711584435e-05,6.288061022127899e-05,0.03467907677773496,mat,dns_yield_h12
DNS,RW,yields,m200,200.0,12,420,0.0077865034128355975,0.007920658050240708,0.0059625913425888554,0.006366369162485716,6.062963539810041e-05,6.273682394884294e-05,0.03358774668702991,mat,dns_yield_h12
DNS,RW,yields,m201,201.0,12,420,0.007782150967770522,0.007911425513732853,0.005960021534482123,0.006357052424395238,6.056187368517168e-05,6.259065365934313e-05,0.03241346519902666,mat,dns_yield_h12
DNS,RW,yields,m202,202.0,12,420,0.007777992390859753,0.007902033937997403,0.005957404642065003,0.006347425524857146,6.0497165632272214e-05,6.244214035726276e-05,0.03114843139364487,mat,dns_yield_h12
DNS,RW,yields,m203,203.0,12,420,0.007774043470474828,0.007892480891584295,0.005954729846825194,0.006337493863547616,6.043575188083231e-05,6.229125462402322e-05,0.029787532044270648,mat,dns_yield_h12
DNS,RW,yields,m204,204.0,12,420,0.007770305337799671,0.007882766827377466,0.005952086695099096,0.006327263759947617,6.037764504263806e-05,6.21380128548026e-05,0.02832996633281426,mat,dns_yield_h12
DNS,RW,yields,m205,205.0,12,420,0.007766773232321179,0.007872902458794505,0.0059494204344206145,0.006316749947842857,6.032276644230077e-05,6.198259312569255e-05,0.026778916461689062,mat,dns_yield_h12
DNS,RW,yields,m206,206.0,12,420,0.007763447101034971,0.007862914012735105,0.005946701235092154,0.00630605720610476,6.027111089056829e-05,6.182541677166606e-05,0.025140241057138968,mat,dns_yield_h12
DNS,RW,yields,m207,207.0,12,420,0.007760334217151928,0.00785284068379848,0.0059440090054138795,0.006295168005028571,6.0222787161899025e-05,6.166710680512058e-05,0.023421232453564977,mat,dns_yield_h12
DNS,RW,yields,m208,208.0,12,420,0.007757439875135294,0.0078427217039269,0.0059416498126863325,0.006284130944509521,6.017787341633908e-05,6.150828372524606e-05,0.02162977453329451,mat,dns_yield_h12
DNS,RW,yields,m209,209.0,12,420,0.0077547509645096695,0.007832578098771019,0.005939522718162337,0.006273004661285717,6.0136162521563646e-05,6.134927967334744e-05,0.01977394287664025,mat,dns_yield_h12
