model,benchmark,target_group,target_name,maturity_months,horizon,n_oos,rmse_model,rmse_benchmark,mae_model,mae_benchmark,mse_model,mse_benchmark,oos_r2,source_used,run_tag
DLNSModel,RandomWalk,yield,m171,171,12,267,0.015305554494261742,0.007925700396299362,0.010594841092824936,0.006302425637841225,0.00023426000552717596,6.281672540353611e-05,-2.729261636734009,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m172,172,12,267,0.015307839959859848,0.007927305996418,0.010590418241918087,0.006304851267486811,0.00023432997113559395,6.284217670327052e-05,-2.7288646697998047,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m173,173,12,267,0.01531088538467884,0.007929210551083088,0.010586409829556942,0.006307446863502264,0.0002344232052564621,6.287238647928461e-05,-2.728555917739868,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m174,174,12,267,0.015314669348299503,0.007931374944746494,0.010583985596895218,0.006310166325420141,0.00023453911126125604,6.290671444730833e-05,-2.7283637523651123,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m175,175,12,267,0.01531917229294777,0.007933764718472958,0.01058258768171072,0.006312962621450424,0.00023467704886570573,6.294462218647823e-05,-2.7283098697662354,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m176,176,12,267,0.015324359759688377,0.007936335168778896,0.01058175228536129,0.006315781734883785,0.00023483599943574518,6.298541848082095e-05,-2.7284185886383057,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m177,177,12,267,0.015330206602811813,0.007939044386148453,0.010581894777715206,0.006318902596831322,0.00023501522082369775,6.302842666627839e-05,-2.728717803955078,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m178,178,12,267,0.015336684882640839,0.007941849529743195,0.010582887567579746,0.0063219876028597355,0.00023521391267422587,6.307297007879242e-05,-2.7292346954345703,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m179,179,12,267,0.015343763865530491,0.007944708690047264,0.010584104806184769,0.006324952933937311,0.00023543108545709401,6.311839388217777e-05,-2.7299916744232178,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m180,180,12,267,0.015351423993706703,0.007947572506964207,0.01058533787727356,0.006327745504677296,0.00023566621530335397,6.316390499705449e-05,-2.7310266494750977,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m181,181,12,267,0.015359632670879364,0.00795040000230074,0.010586582124233246,0.0063303373754024506,0.0002359183126827702,6.320886313915253e-05,-2.732361316680908,mat,dlns_lee2023_h12
DLNSModel,RandomWalk,yield,m182,182,12,267,0.01536836288869381,0.007953143678605556,0.010587827302515507,0.0063326857052743435,0.00023618659179192036,6.325248978100717e-05,-2.7340283393859863,mat,dlns_lee2023_h12
