Time,12 m,24 m,36 m,48 m,60 m,72 m,84 m,96 m,108 m,120 m
199507,5.63266100350616,5.8172892205442,5.9683195579135,6.07505647097366,6.13226665715963,6.20532013962799,6.29589738318703,6.41358289583028,6.48057099538443,6.54020622509767
199508,5.59880264404997,5.76057499506925,5.87824513639861,5.96732451221061,6.01865986768622,6.07802163911689,6.15361593866453,6.26819356383895,6.34194727229409,6.38323146796591
199509,5.65455804870381,5.78251320606835,5.84131326777006,5.92073245926693,5.96720738592066,6.01325962076958,6.05580562621584,6.1513994538327,6.2240486284357,6.265078865721
199510,5.50491044210064,5.56339993377906,5.64490583862166,5.7326205121112,5.76445827853539,5.82082020303196,5.88041323790704,5.96718590669951,6.02965973597896,6.07840909689114
199511,5.33018501551464,5.32020742265084,5.37132387500147,5.44598091251551,5.49045285427458,5.55132317831074,5.64674191388288,5.73924699732157,5.79501166992689,5.82054508326975
199512,5.1342951513102,5.1416733799686,5.2023263702089,5.29461265633147,5.35286069724347,5.40527201074203,5.46197185756378,5.55114409601544,5.61320911480736,5.64340696081874
199601,4.90581720663332,4.91343882952902,5.01153848636287,5.14585543554687,5.24701398749403,5.33564525660997,5.46259461506059,5.56177562401233,5.6382405911535,5.67839343522055
199602,5.14431596551723,5.35356415554283,5.49863188620896,5.62309809717439,5.70926763210479,5.77963854757073,5.97255182533653,6.0908275169303,6.17016594777397,6.22597927351397
199603,5.4146931265976,5.71631848812255,5.87128459359417,5.99837826485941,6.04963497542036,6.10924167800745,6.28704293461057,6.35657503255862,6.40859322158249,6.44988901137077
199604,5.57126717579664,5.95735324214512,6.14587314721328,6.28462616962675,6.35551619958149,6.44237654716717,6.55205863374282,6.63552833926602,6.68735538027734,6.72362530119304
199605,5.6850281675025,6.13048141637273,6.3583461941592,6.5100838095776,6.5706042269958,6.63522284700498,6.74478462856895,6.80464053004491,6.82959690887694,6.86666869419947
199606,5.69172387194502,6.04196252658958,6.2418428699529,6.34727676547625,6.4062367066777,6.48008585993533,6.57366470916593,6.66041521355979,6.68417375260074,6.72415848650837
