Time,xr_2,xr_3,xr_4,xr_5,xr_6,xr_7,xr_8,xr_9,xr_10
198510,0.8538,1.3256,1.8677,1.8117,2.426,1.7444,1.5741,1.3894,0.9341
198511,0.6788,1.0368,1.5717,1.5415,1.9826,1.3178,1.2265,1.1018,0.7252
198512,0.3012,0.5513,0.9305,0.8224,1.1578,0.3236,0.1719,0.3474,0.1057
198601,0.3591,0.6249,1.0025,1.0269,1.4272,0.7508,0.8629,0.9622,0.6642
198602,0.2616,0.2494,0.172,0.0652,0.1243,-0.9765,-0.9962,-1.1789,-1.5899
198603,0.1233,0.2144,0.2833,0.1115,-0.0162,-1.1509,-1.0301,-1.1051,-1.5571
198604,0.5065,0.7256,0.9173,0.8364,0.8709,0.2395,0.1904,0.1181,-0.334
198605,0.8092,1.4859,2.0907,1.9771,2.1306,1.6421,1.5789,1.6346,1.1241
198606,0.5936,1.196,1.6348,1.5551,1.6099,1.1073,1.0892,1.1969,0.7499
198607,0.575,1.1562,1.6927,1.8534,2.1502,1.9355,2.1844,2.4693,2.3456
198608,0.7319,1.3853,2.0047,2.4511,2.69,3.0108,3.2417,3.7274,3.8077
198609,1.0432,1.9056,2.8356,3.2375,3.8384,4.0579,4.3193,4.8899,5.1321
198610,0.7399,1.4337,2.1317,2.6904,3.3895,3.6246,3.9549,4.5128,4.8387
198611,0.6068,1.0705,1.6789,2.0547,2.7717,3.0879,3.4321,3.8329,4.1967
198612,0.5361,0.8723,1.3175,1.4616,2.0389,2.3137,2.5649,2.961,3.3147
198701,0.5117,0.885,1.3914,1.5844,2.0867,2.3461,2.6825,3.1831,3.6383
198702,0.4799,0.8269,1.2291,1.4362,1.8455,1.9789,2.3138,2.8026,3.164
198703,0.5543,0.906,1.359,1.567,2.1801,2.433,2.6515,3.1875,3.5151
198704,0.8921,1.4601,1.9833,2.1509,2.6493,2.7272,3.1126,3.2798,3.5542
198705,1.0224,1.5894,2.0174,2.1947,2.5297,2.6293,3.067,3.4189,3.5629
198706,0.9536,1.6664,2.2476,2.4824,3.0272,3.2979,3.7409,4.134,4.3809
198707,1.0959,1.939,2.5309,2.8957,3.6513,4.0044,4.3884,5.0494,5.3701
198708,1.1459,1.9654,2.4375,2.6911,3.4629,3.9046,4.356,4.8382,5.1258
198709,1.1416,1.9469,2.4782,2.6135,3.449,3.71,4.02,4.4891,4.6475
198710,1.2495,2.0828,2.9766,3.1797,4.1026,4.6716,4.7637,5.0788,5.1714
198711,1.1835,1.8342,2.6394,2.9379,3.8757,4.4135,4.6225,5.0328,5.1643
198712,0.9264,1.4234,1.9881,2.1158,2.8931,3.2534,3.3928,3.7546,3.8133
198801,0.691,1.0284,1.4365,1.5167,2.2979,2.6112,2.7893,3.0492,3.0725
198802,0.7315,1.09,1.4746,1.5987,2.2887,2.6498,2.8961,3.2471,3.3457
198803,0.8621,1.3507,1.98,2.1427,2.9679,3.3756,3.5655,3.9654,4.0707
198804,0.9249,1.4062,1.9886,2.0858,2.8745,3.259,3.4181,3.8619,3.9824
198805,0.8611,1.1696,1.6427,1.6817,2.26,2.5205,2.7036,3.0142,3.0175
198806,0.685,0.8558,1.1248,1.0604,1.5888,1.6805,1.7616,1.9823,1.8935
198807,0.6393,0.6846,0.8479,0.7476,1.1816,1.2483,1.3391,1.5068,1.38
198808,0.4901,0.3903,0.5137,0.3164,0.5336,0.3308,0.3534,0.3367,0.1107
198809,0.281,0.0461,0.0284,-0.2086,-0.0227,-0.3337,-0.3745,-0.4526,-0.6833
198810,0.167,-0.0651,-0.3171,-0.5718,-0.3681,-0.659,-0.6765,-0.7847,-1.0457
198811,0.1058,-0.2777,-0.5664,-0.8907,-0.8715,-1.3759,-1.5013,-1.7748,-2.1562
198812,-0.0167,-0.3381,-0.8146,-1.2783,-1.4298,-2.0297,-2.281,-2.8706,-3.5677
198901,-0.1155,-0.5128,-1.0436,-1.6199,-1.8934,-2.7031,-2.9606,-3.5726,-4.2925
198902,-0.1356,-0.6146,-1.1827,-1.8129,-2.2117,-3.0343,-3.3602,-4.0385,-4.7861
198903,-0.2864,-0.8674,-1.6287,-2.275,-3.1272,-4.1384,-4.4956,-5.3424,-6.2417
198904,-0.2462,-0.8425,-1.4688,-1.993,-2.4477,-3.2232,-3.4984,-4.1511,-4.8714
198905,-0.4445,-0.9936,-1.6432,-2.1146,-2.7361,-3.5503,-3.7931,-4.4158,-5.0904
198906,-0.5134,-1.0557,-1.532,-2.0387,-2.2749,-2.934,-3.1134,-3.6038,-4.1516
198907,-0.5451,-1.049,-1.5965,-1.9712,-2.0432,-2.5699,-2.557,-2.7947,-3.0914
198908,-0.2271,-0.7481,-1.2954,-1.8149,-2.1039,-2.8136,-3.0254,-3.5554,-4.1687
198909,-0.3297,-0.8203,-1.3559,-1.9356,-2.1716,-2.9344,-3.1818,-3.7585,-4.3981
198910,-0.3333,-0.7774,-1.2003,-1.5818,-1.7528,-2.4324,-2.6035,-3.0248,-3.4937
198911,-0.2738,-0.6647,-1.0154,-1.3582,-1.5368,-2.1299,-2.2346,-2.5609,-2.9301
198912,-0.2206,-0.6255,-1.0325,-1.4676,-1.4602,-2.0559,-2.2076,-2.5665,-2.94
199001,-0.0148,-0.3167,-0.5599,-0.8409,-0.9799,-1.5381,-1.6267,-1.8664,-2.1587
199002,0.1945,-0.0378,-0.1514,-0.4196,-0.5287,-1.0236,-1.1544,-1.4273,-1.7395
199003,0.1823,-0.0526,-0.2751,-0.5846,-0.8231,-1.4107,-1.5742,-1.9006,-2.2925
199004,0.2818,0.0871,-0.0271,-0.2888,-0.4487,-1.0106,-1.163,-1.448,-1.8036
199005,0.2351,0.0464,-0.0428,-0.2128,-0.3502,-0.8637,-0.9589,-1.2354,-1.554
199006,0.0801,-0.0653,-0.178,-0.3466,-0.4503,-0.8872,-0.9935,-1.27,-1.5902
199007,0.0735,-0.0618,-0.0776,-0.1579,-0.139,-0.4128,-0.3496,-0.4309,-0.5179
199008,0.2365,0.3004,0.6049,0.6725,0.9129,0.8096,0.9078,1.0081,1.0569
199009,0.2438,0.3208,0.6798,0.7659,1.0693,1.0371,1.1391,1.2151,1.1731
199010,0.2556,0.3761,0.7051,0.8347,1.1912,1.1997,1.3936,1.5887,1.622
199011,0.1176,0.0728,0.3018,0.3016,0.5859,0.5214,0.6528,0.6763,0.5509
199012,0.2635,0.4344,0.7955,0.8509,1.3743,1.4799,1.6106,1.6848,1.6475
199101,0.515,0.7787,1.3146,1.4901,1.9752,2.0845,2.2718,2.5145,2.6564
199102,0.6931,1.0653,1.6941,1.9405,2.4691,2.5912,2.8055,3.08,3.2113
199103,0.9562,1.4609,2.2536,2.488,3.1724,3.2791,3.3646,3.6091,3.6787
199104,1.0187,1.5526,2.4511,2.7735,3.5916,3.7969,3.9093,4.2542,4.425
199105,0.9563,1.4942,2.4764,2.8404,3.6833,3.9139,4.0692,4.4966,4.6465
199106,0.9543,1.7088,2.7466,3.0865,3.9196,4.1272,4.2835,4.6782,4.7084
199107,1.0055,1.7345,2.7391,3.1272,4.0335,4.324,4.4948,4.9514,5.1001
199108,0.8826,1.5865,2.6908,3.1177,4.1619,4.5827,4.7728,5.3191,5.6258
199109,0.8594,1.516,2.5474,2.9354,3.9762,4.3754,4.5891,5.1976,5.5178
199110,0.9262,1.707,2.9349,3.4575,4.7307,5.3378,5.7472,6.6044,7.2189
199111,1.01,2.0325,3.4166,3.9703,5.4856,6.278,6.8733,8.0406,8.7483
